,skill_id,skill_title,skill_type,skill_description,skill_description_combined
0,04ca1b233344a66c112bbcc2d35c022d5b0bd17557888b54c41043d501cb164b,aircraft fuel and engine systems maintenance,tsc,"maintain aircraft fuel and engine systems using appropriate resources and conduct functional tests after maintenance work. this includes maintenance of engine fire protection systems, aircraft fuel systems, engine controls and indication systems, and auxiliary power units.","aircraft fuel and engine systems maintenance-maintain aircraft fuel and engine systems using appropriate resources and conduct functional tests after maintenance work. this includes maintenance of engine fire protection systems, aircraft fuel systems, engine controls and indication systems, and auxiliary power units."
1,64763b9e4194a6b23bff32feaa49a531d9c8e32f7e0e38cc97627bd98d322bd0,cooling system design,tsc,"design cooling systems for ships, rigs and/or conversions to ensure sufficient cooling for engines, auxiliary equipment and fluids by evaluating individual and composite systems cooling requirements, cooling medium capacities, pump and piping system specifications and types of cooling media required","cooling system design-design cooling systems for ships, rigs and/or conversions to ensure sufficient cooling for engines, auxiliary equipment and fluids by evaluating individual and composite systems cooling requirements, cooling medium capacities, pump and piping system specifications and types of cooling media required"
2,35643c9c9767853e61a35a574ca6fed5aff2d81bb496d294351f619891fbe3c7,control room operations management,tsc,perform control room operations in order to monitor and control process units and utilities in a safe and reliable condition by using process control distributed control system (dcs),control room operations management-perform control room operations in order to monitor and control process units and utilities in a safe and reliable condition by using process control distributed control system (dcs)
3,0c0905aa03a160325bc8721681d5deefe9b3f1798680e52760432d1253e93338,service partnerships,tsc,collaborate with partners to deliver and enhance the customer experience,service partnerships-collaborate with partners to deliver and enhance the customer experience
4,68ea7964f03a86c0c30631d93d8fce4cf1fc04f6caf7464216d2e38f8b20cf8e,post-landing operations,tsc,taxi aircraft from runways to parking stands and operate aircraft systems for shut-down,post-landing operations-taxi aircraft from runways to parking stands and operate aircraft systems for shut-down
5,d8f9602a5d755254335da2ab142b021c206dd1c16a27a11a7cfccfed3417f3f4,process unit and utilities operations management,tsc,"operate, monitor and control process units and utilities in order to manage process operations and planning to meet organisational business targets","process unit and utilities operations management-operate, monitor and control process units and utilities in order to manage process operations and planning to meet organisational business targets"
6,b37079a02735024e02c00c6021cf28dcdf7dff2bf8b50cc8f877ad9619beed17,bioreactor operation and control,tsc,operate bioreactors in biopharmaceuticals manufacturing facilities,bioreactor operation and control-operate bioreactors in biopharmaceuticals manufacturing facilities
7,6b8f03dd143b62867819b9375521cd10c11b074a8ab3199ebddb93bc3567fb8e,design sustainability and ethics management,tsc,"create designs that consider the limitations, regulations and guidelines on intellectual property, sustainability, diversity, inclusivity and accessibility, aligning to behaviours and actions which are generally accepted in the profession","design sustainability and ethics management-create designs that consider the limitations, regulations and guidelines on intellectual property, sustainability, diversity, inclusivity and accessibility, aligning to behaviours and actions which are generally accepted in the profession"
8,7d5d5b852a83629fed9585d39e9bc8ad1e85f22944c69eb5ae446d4bcc494d42,workflow digitalisation,tsc,"apply digitalisation to enhance efficiency and effectiveness of operational workflows, processes and practices","workflow digitalisation-apply digitalisation to enhance efficiency and effectiveness of operational workflows, processes and practices"
9,7b92a5760956a0a18e5e9a01b78f47b20296a0f26547f8c83ecdcef12a29020e,"sewerage system operation, maintenance and enforcement management",tsc,"manage the operation, maintenance, surveillance and enforcement work of sewerage systems for sewer protection and monitoring of trade effluent compliance","sewerage system operation, maintenance and enforcement management-manage the operation, maintenance, surveillance and enforcement work of sewerage systems for sewer protection and monitoring of trade effluent compliance"
10,cad3205d9875d5944e0016387a256e9d3980138750de404e84095dd27996c37d,emerging technology synthesis,tsc,"monitor, gather data and identify emerging technology trends, developments, products, services and techniques for integration and perform cost-benefit analysis and evaluation of their relevance, viability, sustainability and potential value add to the business","emerging technology synthesis-monitor, gather data and identify emerging technology trends, developments, products, services and techniques for integration and perform cost-benefit analysis and evaluation of their relevance, viability, sustainability and potential value add to the business"
11,a3dd275ef67b1f1a876ef29f1584879eee0230eacd80a7757967f103c2ac61c3,customer service innovation management,tsc,"identify elements that form customer expectations and develop new methods to design, innovate and achieve desirable levels of customer experience","customer service innovation management-identify elements that form customer expectations and develop new methods to design, innovate and achieve desirable levels of customer experience"
12,ea0a929e5e5494f1b55df414edfea569cbd4f9bee47477463b55e3ff9e98d23d,integrated system design and application,tsc,"manage systems of interrelated computing devices and systems, mechanical and digital machines, objects and people to allow transfer of data over the network so as to support business requirements","integrated system design and application-manage systems of interrelated computing devices and systems, mechanical and digital machines, objects and people to allow transfer of data over the network so as to support business requirements"
13,39caf869e0505b335ec7787439e5d8d8a3b9fdce5efe2cda777d2151f7f446be,pre-flight preparation,tsc,prepare aircraft for flights by ensuring proper configuration of aircraft for take-offs and safe environmental and flight conditions,pre-flight preparation-prepare aircraft for flights by ensuring proper configuration of aircraft for take-offs and safe environmental and flight conditions
14,c7855bf83cb68ada261b5182370a6cb3fea5e8de4064301bdaca7956094d9b7c,condition-based monitoring,tsc,formulate and implement condition-based maintenance procedures to enhance organisation maintenance regimes and operational reliability.,condition-based monitoring-formulate and implement condition-based maintenance procedures to enhance organisation maintenance regimes and operational reliability.
15,06a550b6a974930415548d9b65ecda7d0578bca2e0d3b938b5128aa66722c748,valuation of different classes of interest,tsc,perform valuation of different classes of interests,valuation of different classes of interest-perform valuation of different classes of interests
16,d4da30f32e98bf11a98183faa1e4796da02eefdaebf0385f16e194e4a0dbbd16,clinical support for patient service associates,tsc,assist with clinical duties or perform simple clinical procedures during consultation as instructed by registered practitioners and according to organisational guidelines and procedures,clinical support for patient service associates-assist with clinical duties or perform simple clinical procedures during consultation as instructed by registered practitioners and according to organisational guidelines and procedures
17,cf504e691bafa1941069e092c9184cbf5c11ffc39bdb487dfd8648e8ab182c8c,plant identification,tsc,"identify, classify and document plant species for a variety of horticultural purposes","plant identification-identify, classify and document plant species for a variety of horticultural purposes"
18,0358a727447835c29bb0d944bb6fc8459cecbde550f8cd89a6823014b8205cc3,social service (early intervention) programme development and implementation,tsc,"develop, implement and monitor programmes for children with developmental needs, their families or related stakeholders","social service (early intervention) programme development and implementation-develop, implement and monitor programmes for children with developmental needs, their families or related stakeholders"
19,ccfc7bd0917b133e7f6959150d18d2dbbdd7c9448e885b9ed8c845595eba5fb9,business networking,tsc,"establish mutually beneficial relationships with business stakeholders, potential clients and customers","business networking-establish mutually beneficial relationships with business stakeholders, potential clients and customers"
20,de48312539d98fd5e37b29cd02849fdc00a93e375e52396e920b9bb43afea3a0,computer vision technology,tsc,develop and deploy vision analytics algorithm and spatial sensing and/or reasoning systems,computer vision technology-develop and deploy vision analytics algorithm and spatial sensing and/or reasoning systems
21,11e79b04f43f4db894a21596bf0f3126406d782beb75649fb119f0de900b8f9b,attractions ride and equipment maintenance,tsc,manage operation and maintenance of attraction rides and equipment,attractions ride and equipment maintenance-manage operation and maintenance of attraction rides and equipment
22,e887dd971aa2ceb99aac12071705b032226449f7464454a78a9dcff06a21664f,technology transfer,tsc,"monitor, support and evaluate the organisation's technology transfer activities","technology transfer-monitor, support and evaluate the organisation's technology transfer activities"
23,e8551d9e90b4539cefbdb4c29dd07f91b4e85e78b7fc3e0c3da95e3f91de2531,perform rotating equipment fitting work,tsc,"on completion of the unit, the learner will learn to carry out basic maintenance and machinery repair works on rotating equipment in a process plant","perform rotating equipment fitting work-on completion of the unit, the learner will learn to carry out basic maintenance and machinery repair works on rotating equipment in a process plant"
24,ef73e8c4df40baadca02c318676d2d1b4d282a91c4987137352e9aae50505d63,technology road mapping,tsc,plan short-term and long-term goals with specific technology solutions to help meet those goals in order to make capital out of future market needs,technology road mapping-plan short-term and long-term goals with specific technology solutions to help meet those goals in order to make capital out of future market needs
25,c9516522a8e31d8bb8980dfea3d0775590f8e80a8d087daffd675d8b669a239e,commissioning and start-up management,tsc,"manage the commissioning and start-up of new or modified equipment, components and systems into operational modes","commissioning and start-up management-manage the commissioning and start-up of new or modified equipment, components and systems into operational modes"
26,71eea36d7bd5846b03cb5850d6350e8fd539a2a7a8bf2b7d9fd15cb67409b98f,equipment and systems testing,tsc,execute equipment and systems testing procedures to ensure continuity of operations and meet standards of performance,equipment and systems testing-execute equipment and systems testing procedures to ensure continuity of operations and meet standards of performance
